,date,name,point
0,2019-10-01,사랑의 선물,9.64
1,2019-10-01,주전장,9.54
2,2019-10-01,안녕 베일리,9.46
3,2019-10-01,알라딘,9.39
4,2019-10-01,폴란드로 간 아이들,9.33
5,2019-10-01,교회오빠,9.28
6,2019-10-01,로마의 휴일,9.22
7,2019-10-01,타샤 튜더,9.04
8,2019-10-01,벌새,8.97
9,2019-10-01,마담 프루스트의 비밀정원,8.91
10,2019-10-01,비트,8.85
11,2019-10-01,김복동,8.83
12,2019-10-01,우리집,8.8
13,2019-10-01,"메밀꽃, 운수 좋은 날, 그리고 봄봄",8.75
14,2019-10-01,소중한 날의 꿈,8.58
15,2019-10-01,양자물리학,8.52
16,2019-10-01,그녀,8.5
17,2019-10-01,기생충,8.48
18,2019-10-01,장사리 : 잊혀진 영웅들,8.41
19,2019-10-01,엑시트,8.31
20,2019-10-01,무산일기,8.2
21,2019-10-01,에곤 쉴레: 욕망이 그린 그림,7.92
22,2019-10-01,봉오동 전투,7.89
23,2019-10-01,분노의 질주: 홉스&쇼,7.86
24,2019-10-01,"힘을 내요, 미스터 리",7.61
25,2019-10-01,원스 어폰 어 타임... 인 할리우드,7.61
26,2019-10-01,극장판 헬로카봇 : 달나라를 구해줘!,7.52
27,2019-10-01,몬스터 하우스,7.37
28,2019-10-01,47미터 2,7.29
29,2019-10-01,애드 아스트라,7.22
30,2019-10-01,예스터데이,6.6
31,2019-10-01,나쁜 녀석들: 더 무비,6.59
32,2019-10-01,그것: 두 번째 이야기,6.23
33,2019-10-01,유열의 음악앨범,6.08
34,2019-10-01,타짜: 원 아이드 잭,5.47
35,2019-10-02,사랑의 선물,9.65
36,2019-10-02,주전장,9.55
37,2019-10-02,안녕 베일리,9.46
38,2019-10-02,알라딘,9.39
39,2019-10-02,폴란드로 간 아이들,9.33
40,2019-10-02,교회오빠,9.28
41,2019-10-02,조커,9.27
42,2019-10-02,로마의 휴일,9.23
43,2019-10-02,타샤 튜더,9.04
44,2019-10-02,벌새,8.97
45,2019-10-02,마담 프루스트의 비밀정원,8.92
46,2019-10-02,비트,8.85
47,2019-10-02,김복동,8.83
48,2019-10-02,우리집,8.8
49,2019-10-02,그녀,8.5
50,2019-10-02,양자물리학,8.5
51,2019-10-02,기생충,8.48
52,2019-10-02,장사리 : 잊혀진 영웅들,8.4
53,2019-10-02,엑시트,8.31
54,2019-10-02,가장 보통의 연애,8.25
55,2019-10-02,무산일기,8.2
56,2019-10-02,더 룸,7.99
57,2019-10-02,에곤 쉴레: 욕망이 그린 그림,7.92
58,2019-10-02,"힘을 내요, 미스터 리",7.6
59,2019-10-02,원스 어폰 어 타임... 인 할리우드,7.6
60,2019-10-02,극장판 헬로카봇 : 달나라를 구해줘!,7.51
61,2019-10-02,몬스터 하우스,7.37
62,2019-10-02,47미터 2,7.29
63,2019-10-02,애드 아스트라,7.23
64,2019-10-02,퍼스트맨,6.96
65,2019-10-02,예스터데이,6.6
66,2019-10-02,나쁜 녀석들: 더 무비,6.58
67,2019-10-02,그것: 두 번째 이야기,6.24
68,2019-10-02,유열의 음악앨범,6.08
69,2019-10-02,타짜: 원 아이드 잭,5.47
70,2019-10-03,사랑의 선물,9.64
71,2019-10-03,주전장,9.55
72,2019-10-03,안녕 베일리,9.45
73,2019-10-03,알라딘,9.39
74,2019-10-03,폴란드로 간 아이들,9.33
75,2019-10-03,교회오빠,9.28
76,2019-10-03,로마의 휴일,9.23
77,2019-10-03,조커,9.12
78,2019-10-03,타샤 튜더,9.04
79,2019-10-03,벌새,8.95
80,2019-10-03,마담 프루스트의 비밀정원,8.92
81,2019-10-03,비트,8.85
82,2019-10-03,김복동,8.83
83,2019-10-03,우리집,8.8
84,2019-10-03,그녀,8.51
85,2019-10-03,양자물리학,8.48
86,2019-10-03,기생충,8.48
87,2019-10-03,장사리 : 잊혀진 영웅들,8.4
88,2019-10-03,가장 보통의 연애,8.36
89,2019-10-03,엑시트,8.31
90,2019-10-03,무산일기,8.2
91,2019-10-03,퍼펙트맨,8.18
92,2019-10-03,더 룸,7.99
93,2019-10-03,에곤 쉴레: 욕망이 그린 그림,7.92
94,2019-10-03,원스 어폰 어 타임... 인 할리우드,7.61
95,2019-10-03,"힘을 내요, 미스터 리",7.59
96,2019-10-03,극장판 헬로카봇 : 달나라를 구해줘!,7.51
97,2019-10-03,몬스터 하우스,7.37
98,2019-10-03,47미터 2,7.29
99,2019-10-03,애드 아스트라,7.24
100,2019-10-03,미드소마,6.65
101,2019-10-03,예스터데이,6.6
102,2019-10-03,나쁜 녀석들: 더 무비,6.58
103,2019-10-03,그것: 두 번째 이야기,6.23
104,2019-10-03,유열의 음악앨범,6.08
105,2019-10-03,타짜: 원 아이드 잭,5.46
106,2019-10-04,사랑의 선물,9.59
107,2019-10-04,주전장,9.55
108,2019-10-04,안녕 베일리,9.45
109,2019-10-04,알라딘,9.39
110,2019-10-04,폴란드로 간 아이들,9.33
111,2019-10-04,교회오빠,9.28
112,2019-10-04,로마의 휴일,9.23
113,2019-10-04,조커,9.05
114,2019-10-04,타샤 튜더,9.04
115,2019-10-04,벌새,8.95
116,2019-10-04,마담 프루스트의 비밀정원,8.92
117,2019-10-04,비트,8.85
118,2019-10-04,김복동,8.83
119,2019-10-04,우리집,8.8
120,2019-10-04,그녀,8.51
121,2019-10-04,양자물리학,8.48
122,2019-10-04,기생충,8.48
123,2019-10-04,장사리 : 잊혀진 영웅들,8.4
124,2019-10-04,가장 보통의 연애,8.36
125,2019-10-04,엑시트,8.31
126,2019-10-04,무산일기,8.2
127,2019-10-04,퍼펙트맨,8.11
128,2019-10-04,더 룸,7.98
129,2019-10-04,에곤 쉴레: 욕망이 그린 그림,7.92
130,2019-10-04,원스 어폰 어 타임... 인 할리우드,7.62
131,2019-10-04,"힘을 내요, 미스터 리",7.58
132,2019-10-04,극장판 헬로카봇 : 달나라를 구해줘!,7.5
133,2019-10-04,몬스터 하우스,7.37
134,2019-10-04,47미터 2,7.29
135,2019-10-04,애드 아스트라,7.24
136,2019-10-04,미드소마,6.65
137,2019-10-04,예스터데이,6.59
138,2019-10-04,나쁜 녀석들: 더 무비,6.58
139,2019-10-04,그것: 두 번째 이야기,6.23
140,2019-10-04,유열의 음악앨범,6.08
